OBECJTID,COUNTY,SCHOOL,ADDRESS,ROLL_NUMBE,PHONE,ENROLLMENT,GENDER,GAELTACHT,DENOMINATI,DIOCESE,PARISH,EASTING_,NORTHING
2534,Dublin Belgard/South,ST KILLIANS JUNIOR SCHOOL,CASTLEVIEW  TALLAGHT  DUBLIN 24,19556F,01 4521009,251,Mixed,Ordinary School,CATHOLIC,DUBLIN,CASTLEVIEW,308738.027,229724.341
2537,Dublin Belgard/South,SCOIL TREASA FIRHOUSE,SCOIL TREASA BALLYCULLEN AVE  FIRHOUSE  DUBLIN 24,19565G,01 4513141,413,Mixed,Ordinary School,CATHOLIC,DUBLIN,FIRHOUSE,310837.917,226868.119
2538,Dublin Belgard/South,OUR LADY QUEEN OF APOSTLES,QUEEN OF APOSTLES NS  CLONBURRIS  CLONDALKIN  DUBLIN 22,19566I,01 4573636,501,Mixed,Ordinary School,CATHOLIC,DUBLIN,CLONDALKIN,306572.577,231873.195
2540,Dublin Belgard/South,NEILLSTOWN N S,ST PETER APOSTLE NS  NEILLSTOWN  CLONDALKIN  DUBLIN 22,19569O,01 4572811,297,Mixed,Ordinary School,CATHOLIC,DUBLIN,NEILSTOWN,306569.527,233017.920
2542,Dublin Belgard/South,MARLEY GRANGE NS,DIVINE WORD NS  MARLEY GRANGE  RATHFARNHAM  DUBLIN 16,19574H,01 4945955,452,Mixed,Ordinary School,CATHOLIC,DUBLIN,MARLEY GRANGE,315215.091,227336.930
2543,Dublin Belgard/South,ST MARYS JUNIOR N S,ROWLAGH  CLONDALKIN  DUBLIN 22,19575J,01 6263266,230,Mixed,Ordinary School,CATHOLIC,DUBLIN,ROWLAGH,306937.620,233745.347
2544,Dublin Belgard/South,S N AENGHUSA,SCOIL N AENGHUSA SIN  BALROTHERY  TALLAGHT  DUBLIN 24,19576L,01 4518984,129,Mixed,Ordinary School,CATHOLIC,DUBLIN,"TALLAGHT,TYMON NORTH",310381.667,228221.251
2545,Dublin Belgard/South,SCOIL IOSA,SCOIL NAIS IOSA  TYMON NORTH  TALLAGHT  DUBLIN 24,19577N,01 4520800,75,Mixed,Ordinary School,CATHOLIC,DUBLIN,"TALLAGHT,TYMON NORTH",310240.534,228864.478
2546,Dublin Fingal,ST HELENS JUNIOR N S,ST HELENS JUNIOR N S  MARTELLO  PORTMARNOCK  CO DUBLIN,19578P,01 8461763,235,Mixed,Ordinary School,CATHOLIC,DUBLIN,PORTMARNOCK,323914.531,244716.844
2547,Dublin Belgard/South,ST MAELRUAINS  N S,KILCLARE AVENUE  JOBSTOWN  TALLAGHT  DUBLIN 24,19582G,01 4527933,74,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,307290.580,226972.844
2548,Dublin City,ST JOSEPHS SENIOR N S,ST JOSEPHS SENIOR NS  BALCURRIS  BALLYMUN  DUBLIN 11,19583I,01 8422600,202,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALCURRIS,314989.000,240391.000
2551,Dublin City,GAELSCOIL INSE CHOR,700-701 AN CUARBHOTHAR THEAS  DROICHEAD NA HINSE  BAILE ATHA CLIATH 8,19589U,01 6796748,211,Mixed,All Irish School,CATHOLIC,DUBLIN,"INCHICORE,ST MICHAEL'S",312484.536,233948.169
2557,Dublin Fingal,ST PHILIP THE APOSTLE JUNIOR N S,MOUNTVIEW  BLANCHARDSTOWN  DUBLIN 15,19601H,01 8212992,285,Mixed,Ordinary School,CATHOLIC,DUBLIN,MOUNTVIEW,306046.644,238905.630
2559,Dublin Fingal,SCOIL NAIS MHUIRE SOIS,BLAKESTOWN  MULHUDDART  DUBLIN 15,19605P,01 8216916,297,Mixed,Ordinary School,CATHOLIC,DUBLIN,BLAKESTOWN,306414.516,239764.854
2562,Dublin City,SCOIL NAOMH COLMCILLE,NEWBROOK RD  DONAGHMEDE  DUBLIN 13,19611K,01 8477300,123,Mixed,Ordinary School,CATHOLIC,DUBLIN,DONAGHMEDE,322501.805,240068.341
2563,Dun Laoghaire - Rathdown,DALKEY SCHOOL PROJECT,GLENAGEARY LODGE  GLENAGEARY  CO DUBLIN,19612M,01 2857199,235,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,324594.000,226535.000
2564,Dublin Belgard/South,SCOIL CNOC MHUIRE SIN,KNOCKMORE AVE  KILLINARDEN  TALLAGHT  DUBLIN 24,19613O,01 4512347,151,Mixed,Ordinary School,CATHOLIC,DUBLIN,KILLINARDEN,307327.193,226231.956
2567,Dublin Belgard/South,ST MARTIN DE PORRES N S,AYLESBURY  OLD BAWN  TALLAGHT  DUBLIN 24,19617W,01 4511319,322,Mixed,Ordinary School,CATHOLIC,DUBLIN,"TALLAGHT,ST MARY'S",308685.000,226179.000
2568,Dublin City,ST PAULS SEN NS,AYRFIELD  MALAHIDE RD  DUBLIN 13,19618B,01 8472810,224,Mixed,Ordinary School,CATHOLIC,DUBLIN,AYRFIELD,320878.000,239824.000
2569,Dublin Belgard/South,ST PAULS JUN NS,GREENHILLS  WALKINSTOWN  DUBLIN 12,19623R,01 4569173,301,Girls,Ordinary School,CATHOLIC,DUBLIN,GREENHILLS,311473.406,230007.096
2570,Dublin Fingal,SCOIL NAIS CAITRIONA,KENURE  RUSH  CO DUBLIN,19624T,01 8438266,268,Mixed,Ordinary School,CATHOLIC,DUBLIN,RUSH,326073.563,255556.625
2571,Dublin Fingal,S N REALT NA MARA,THOMAS HAND ST  SKERRIES  CO DUBLIN,19625V,01 8490049,411,Mixed,Ordinary School,CATHOLIC,DUBLIN,SKERRIES,324519.875,260559.125
2573,Dublin Fingal,JOHN PAUL II N S,SONESTA  MALAHIDE  CO DUBLIN,19627C,01 8450736,561,Mixed,Ordinary School,CATHOLIC,DUBLIN,MALAHIDE,321669.964,246424.176
2574,Dublin City,ST FIACHRAS SEN N S,BEAUMONT  MONTROSE  DUBLIN 5,19628E,01 8477762,658,Mixed,Ordinary School,CATHOLIC,DUBLIN,BEAUMONT,318037.773,238889.982
2580,Dublin Fingal,ST PATRICKS SENIOR SCHOOL,CORDUFF  BLANCHARDSTOWN  DUBLIN 15,19636D,01 8216563,261,Mixed,Ordinary School,CATHOLIC,DUBLIN,DOMINICK STREET,308005.929,239953.551
2584,Dun Laoghaire - Rathdown,ST COLMCILLE JUN NS,WYATTVILLE  BALLYBRACK  CO DUBLIN,19641T,01 2848899,174,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYBRACK,324539.872,224254.565
2585,Dublin Belgard/South,ST PETER APOSTLE SEN NS,NEILLSTOWN  CLONDALKIN  DUBLIN 22,19642V,01 4572799,277,Mixed,Ordinary School,CATHOLIC,DUBLIN,NEILSTOWN,306569.527,233017.920
2586,Dublin Fingal,ST PHILIPS  SENIOR N S,MOUNTVIEW  CLONSILLA  DUBLIN 15,19643A,01 8216101,305,Mixed,Ordinary School,CATHOLIC,DUBLIN,MOUNTVIEW,306046.644,238905.630
2587,Dublin Fingal,ST CIARANS N S,HARTSTOWN  DUBLIN 15,19644C,01 8212233,741,Mixed,Ordinary School,CATHOLIC,DUBLIN,HARTSTOWN,305107.833,239316.837
2589,Dublin Belgard/South,SCOIL SANTAIN,BOTHAR NA HABHANN MOR  TAMHLACHT  ATH CLIATH 24,19646G,01 4597613,308,Mixed,All Irish School,CATHOLIC,DUBLIN,"TALLAGHT,DODDER",310262.763,227227.264
2590,Dublin Belgard/South,ST MARYS SEN N S,ROWLAGH  CLONDALKIN  DUBLIN 22,19647I,01 6262563,271,Mixed,Ordinary School,CATHOLIC,DUBLIN,ROWLAGH,306861.413,233690.289
2595,Dublin Belgard/South,BISHOP SHANAHAN NS,ORWELL PARK  TEMPLEOGUE  DUBLIN 16,19658N,01 4508449,418,Mixed,Ordinary School,CATHOLIC,DUBLIN,WILLINGTON,312165.395,228861.842
2597,Dublin Fingal,RUSH NS,RUSH  CO DUBLIN,19660A,01 8437095,679,Mixed,Ordinary School,CATHOLIC,DUBLIN,RUSH,325780.370,253949.981
2598,Dublin City,ST GABRIELS NS,DOMINICAN CAMPUS  BALLYFERMOT  DUBLIN 10,19661C,01 6265958,268,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYFERMOT,310124.735,233773.879
2599,Dublin City,ST MICHAELS NS,DOMINICAN CONVENT  BALLYFERMOT  DUBLIN 10,19662E,01 6263556,312,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYFERMOT,310073.502,233817.803
2600,Dublin City,ST RAPHAELS NS,DOMINICAN CONVENT  BALLYFERMOT  DUBLIN 10,19663G,01 6265953,256,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYFERMOT,310096.625,233797.266
2602,Dublin City,ST FRANCIS SENIOR N S,PRIORSWOOD  DUBLIN 17,19668Q,01 8470656,207,Mixed,Ordinary School,CATHOLIC,DUBLIN,PRIORSWOOD,319371.379,240773.278
2603,Dublin City,LADY OF GOOD COUNSEL NS,MOURNE RD  DRIMNAGH  DUBLIN 12,19669S,01 4551672,170,Boys,Ordinary School,CATHOLIC,DUBLIN,MOURNE ROAD,312147.873,232373.847
2608,Dublin Belgard/South,SCOIL AINE NAOFA,ESKER  LUCAN  CO DUBLIN,19676P,01 6281972,477,Mixed,Ordinary School,CATHOLIC,DUBLIN,ESKER-DODDSBORO,303364.130,234303.754
2619,Dublin Fingal,MARY QUEEN OF IRELAND N S,TOBERBURR  CO DUBLIN,19693P,01 8404629,73,Mixed,Ordinary School,CATHOLIC,DUBLIN,FINGLAS,313479.656,246056.828
2620,Dublin Fingal,SCOIL MHUIRE SIN,BLAKESTOWN  MULHUDDART  DUBLIN 15,19694R,01 8212288,268,Mixed,Ordinary School,CATHOLIC,DUBLIN,BLAKESTOWN,306414.516,239764.854
2624,Dublin Belgard/South,ST THOMAS JUNIOR N S,JOBSTOWN  TALLAGHT  DUBLIN 24,19702N,01 4525855,437,Mixed,Ordinary School,CATHOLIC,DUBLIN,JOBSTOWN,306480.874,226547.847
2626,Dublin Belgard/South,ST RONANS N S,DEANSRATH  CLONDALKIN  DUBLIN 22,19707A,01 4573653,455,Mixed,Ordinary School,CATHOLIC,DUBLIN,DEANSRATH,304913.424,231460.759
2631,Dun Laoghaire - Rathdown,QUEEN OF ANGELS PRIMARY SCHOOL,WEDGEWOOD  DUNDRUM  DUBLIN 16,19723V,01 2955483,329,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALALLY,318385.000,226551.000
2634,Dublin City,ST MARYS CENTRAL N S,BELMONT AVENUE  DONNYBROOK  DUBLIN 4,19727G,01 2692578,251,Mixed,Ordinary School,CATHOLIC,DUBLIN,DONNYBROOK,317403.027,231508.697
2643,Dublin Belgard/South,ST COLMCILLE SENIOR N S,KNOCKLYON  DUBLIN 16,19742C,01 4942527,732,Mixed,Ordinary School,CATHOLIC,DUBLIN,KNOCKLYON,312319.612,227330.486
2644,Dublin Belgard/South,ST BERNADETTES JUNIOR N S,QUARRYVALE  CLONDALKIN  DUBLIN 22,19743E,01 6263188,259,Mixed,Ordinary School,CATHOLIC,DUBLIN,ROWLAGH,306740.000,234439.000
2652,Dublin Fingal,SACRED HEART N S,HUNTSTOWN  MULHUDDART  DUBLIN 15,19755L,01 8216400,972,Mixed,Ordinary School,CATHOLIC,DUBLIN,HUNTSTOWN,305798.376,240310.135
2655,Dublin Fingal,ST HELENS SENIOR N S,MARTELLO  PORTMARNOCK  CO DUBLIN,19762I,01 8461808,273,Mixed,Ordinary School,CATHOLIC,DUBLIN,PORTMARNOCK,323938.875,244719.453
2656,Dublin City,OUR LADY OF WAYSIDE N S,BLUEBELL  INCHICORE  DUBLIN 12,19764M,01 4501030,113,Mixed,Ordinary School,CATHOLIC,DUBLIN,BLUEBELL,310782.000,232489.000
2657,Dublin Belgard/South,ST THOMAS SENIOR N S,JOBSTOWN  TALLAGHT  DUBLIN 24,19765O,01 4526555,384,Mixed,Ordinary School,CATHOLIC,DUBLIN,JOBSTOWN,306559.689,226556.275
2658,Dublin City,SCOIL IOSAGAIN/MHUIRE,MOUNT LA SALLE  BALLYFERMOT  DUBLIN 10,19766Q,01 6267527,180,Boys,Ordinary School,CATHOLIC,DUBLIN,BALLYFERMOT,310324.310,233744.940
2659,Dublin City,SCOIL MHUIRE/SEOSAMH,MOUNT LA SALLE  BALLYFERMOT  DUBLIN 10,19767S,01 6267527,179,Boys,Ordinary School,CATHOLIC,DUBLIN,ARKLOW,310460.380,233699.820
2663,Dublin City,ST JOSEPHS MXD N S,EAST WALL  DUBLIN 3,19774P,01 8556284,189,Mixed,Ordinary School,CATHOLIC,DUBLIN,EAST WALL,317986.298,235235.236
2664,Dublin Belgard/South,SCOIL CNOC MHUIRE JUNIOR,KNOCKMORE AVE  KILLINARDEN  TALLAGHT  DUBLIN 24,19775R,01 4525266,166,Mixed,Ordinary School,CATHOLIC,DUBLIN,KILLINARDEN,307327.193,226231.956
2666,Dublin City,GAELSCOIL MIDE,BOTHAR AN GHLEANTAIN  GHLAIS CILL BHARROG  BAILE ATHA CLIATH 5,19777V,01 8393968,223,Mixed,All Irish School,CATHOLIC,DUBLIN,DONAGHMEDE,322971.505,238804.883
2669,Dublin Belgard/South,ST BRIGIDS N S,BROOKFIELD  TALLAGHT  DUBLIN 24,19782O,01 4514700,339,Mixed,Ordinary School,CATHOLIC,DUBLIN,SPRINGFIELD,306467.875,227475.756
2671,Dublin Belgard/South,ST BERNADETTES SENIOR N S,QUARRYVALE  CLONDALKIN  DUBLIN 22,19785U,01 6267116,217,Mixed,Ordinary School,CATHOLIC,DUBLIN,ROWLAGH,306775.000,234524.000
2679,Dublin Belgard/South,SACRED HEART N S,SRULEEN  CLONDALKIN  DUBLIN 22,19799I,01 4572988,411,Mixed,Ordinary School,CATHOLIC,DUBLIN,SRULEEN,306542.459,230523.445
2691,Dublin Belgard/South,ST MARYS N S,WOODVIEW  ESKER  LUCAN  CO DUBLIN,19817H,01 6240203,354,Mixed,Ordinary School,CATHOLIC,DUBLIN,ESKER-DODDSBORO,302120.711,234487.000
2698,Dublin Belgard/South,ST AIDANS NS,BROOKFIELD  TALLAGHT  DUBLIN 24,19834H,01 4596016,319,Mixed,Ordinary School,CATHOLIC,DUBLIN,BROOKFIELD,306447.136,227390.419
2699,Dublin City,DRIMNAGH CASTLE CBS N S,DRIMNAGH CASTLE  DUBLIN 12,19837N,01 4552066,448,Boys,Ordinary School,CATHOLIC,DUBLIN,WALKINSTOWN,311265.000,231728.000
2702,Dun Laoghaire - Rathdown,HOLY FAMILY SCHOOL,DUNEDIN PARK  MONKSTOWN  CO DUBLIN,19840C,01 2809242,108,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYMORE EUSTACE,323177.139,227786.441
2704,Dublin City,NORTH DUBLIN NS PROJECT,BALLYMUN ROAD  DUBLIN 9,19845M,01 8371620,221,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,315282.000,238234.000
2714,Dublin Belgard/South,ARCHBISHOP RYAN J N S,BALGADDY  LUCAN  CO DUBLIN,19865S,01 4573095,564,Mixed,Ordinary School,CATHOLIC,DUBLIN,LUCAN,305570.896,233402.982
2717,Dublin Belgard/South,SCOIL CHAITLIN MAUDE,CNOC MHUIRE  TAMHLACHT  BAILE ATHA CLIATH 24,19872P,01 4596141,228,Mixed,All Irish School,CATHOLIC,DUBLIN,BROOKFIELD,307235.635,226267.409
2720,Dublin Belgard/South,HOLY ROSARY PRIMARY SCHOOL,OLD COURT AVENUE TALLAGHT DUBLIN 24,19878E,01 4521369,460,Mixed,Ordinary School,CATHOLIC,DUBLIN,BOHERNABREENA,310213.559,226011.053
2729,Dun Laoghaire - Rathdown,ST ANNES MXD N S,STONEBRIDGE ROAD  SHANKILL  CO DUBLIN,19888H,01 2825565,494,Mixed,Ordinary School,CATHOLIC,DUBLIN,SHANKILL,324981.279,222036.769
2730,Dublin City,SCOIL COLM,ARMAGH ROAD  CRUMLIN  DUBLIN 12,19889J,01 4562622,202,Boys,Ordinary School,CATHOLIC,DUBLIN,CRUMLIN,312837.291,231349.045
2733,Dublin Belgard/South,ST KILIANS SENIOR N S,CASTLEVIEW  TALLAGHT  DUBLIN 24,19893A,01 4510100,292,Mixed,Ordinary School,CATHOLIC,DUBLIN,CASTLEVIEW,308738.027,229724.341
2735,Dublin City,SCOIL MHUIR S IOSAF,ST MARYS PLACE  PLAS MHUIRE  OFF DORSET STREET  DUBLIN 7,19895E,01 8300841,101,Girls,Ordinary School,CATHOLIC,DUBLIN,BERKLEY ROAD,315421.999,235217.327
2736,Dublin City,SCOIL CAITRIONA NA MBRAITHRE,BAGGOT ST  DUBLIN 2,19896G,01 6766132,75,Mixed,Ordinary School,CATHOLIC,DUBLIN,WESTLAND ROW,316859.947,233217.539
2738,Dublin Fingal,GAELSCOIL AN DUINNINIGH,DRAIGHNEAN  FELTRIM SORD  CO BAILE ATHA CLIATH,19898K,01 8409640,212,Mixed,All Irish School,CATHOLIC,DUBLIN,MALAHIDE,319654.755,245568.287
2740,Dun Laoghaire - Rathdown,BOOTERSTOWN N S,CROSS AVE  BLACKROCK  CO DUBLIN,19901T,01 2885514,92,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN,,320653.925,229304.840
2742,Dun Laoghaire - Rathdown,HOLY CROSS N S,UPPER KILMACUD ROAD  DUNDRUM  DUBLIN 14,19904C,01 2985493,248,Mixed,Ordinary School,CATHOLIC,DUBLIN,DUNDRUM,317329.244,227882.389
2745,Dublin City,GAELSCOIL MOLOGA,BOTHAR CHLAREVILLE  BAILE ATHA CLIATH 6W,19907I,01 4923888,229,Mixed,All Irish School,CATHOLIC,DUBLIN,TEMPLEOGUE,314319.125,231020.000
2751,Dublin City,ST JOSEPHS NS,MACROOM ROAD  BONNYBROOK  DUBLIN 17,19913D,01 8475616,370,Mixed,Ordinary School,CATHOLIC,DUBLIN,BONNYBROOK,319566.431,240142.338
2757,Dublin City,ST DAVIDS N S,KILMORE ROAD  ARTANE  DUBLIN 5,19919P,01 8487979,381,Boys,Ordinary School,CATHOLIC,DUBLIN,KILMORE ROAD WEST,318667.558,238749.701
2758,Dublin City,ST JOHN OF GOD N S,KILMORE ROAD  ARTANE  DUBLIN 5,19920A,01 8477193,236,Girls,Ordinary School,CATHOLIC,DUBLIN,KILMORE ROAD WEST,318652.000,239177.000
2760,Dun Laoghaire - Rathdown,OUR LADYS N S,ST COLUMBANUS ROAD  MILLTOWN  DUBLIN 14,19922E,01 2981989,68,Mixed,Ordinary School,CATHOLIC,DUBLIN,CLONSKEAGH,316722.764,229327.136
2762,Dublin City,HAROLDS CROSS N S,HAROLDS CROSS  DUBLIN 6W,19924I,01 4922321,207,Mixed,Ordinary School,CATHOLIC,DUBLIN,HAROLD'S CROSS,314292.698,231020.852
2764,Dublin City,GAELSCOIL CHOLAISTE MHUIRE,4 CEARNOG PHARNELL  B.A.C. 1,19926M,01 8729131,171,Mixed,All Irish School,CATHOLIC,DUBLIN,PRO-CATHEDRAL,315770.969,235090.078
2765,Dublin City,RANELAGH MULTI DENOM NS,RANELAGH ROAD  DUBLIN 6,19928Q,01 4961722,241,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,316137.375,232116.000
2766,Dublin City,ST BRIGIDS SENIOR GIRLS,FINGLAS WEST  DUBLIN 11,19929S,01 8342416,221,Girls,Ordinary School,CATHOLIC,DUBLIN,FINGLAS WEST,312540.276,238681.623
2770,Dublin City,SCOIL TREASA NAOFA,PETRIE ROAD  DONORE AVENUE  DUBLIN 8,19933J,01 4541899,137,Mixed,Ordinary School,CATHOLIC,DUBLIN,DONORE AVENUE,314673.000,232934.000
2772,Dublin City,SCOIL EOIN,GREENDALE ROAD  DUBLIN 5,19935N,01 8323281,273,Mixed,Ordinary School,CATHOLIC,DUBLIN,KILBARRACK-FOXFIELD,322667.472,238984.332
2775,Dun Laoghaire - Rathdown,ST JOSEPHS,TIVOLI ROAD  DUN LAOGHAIRE  CO DUBLIN,19938T,01 2803504,160,Mixed,Ordinary School,CATHOLIC,DUBLIN,DUN LAOGHAIRE,324093.594,227849.938
2776,Dun Laoghaire - Rathdown,SCOIL NAISIUNTA AN DEA AOIRE,WHITEHALL ROAD  CHURCHTOWN  DUBLIN 14,19939V,01 2989475,240,Mixed,Ordinary School,CATHOLIC,DUBLIN,CHURCHTOWN,315441.138,228407.213
2777,Dublin Belgard/South,GAELSCOIL NAOMH PADRAIG,LEAMHCAN  CO BAILE ATHA CLIATH,19940G,01 6241355,284,Mixed,All Irish School,CATHOLIC,DUBLIN,PALMERSTOWN,304233.813,234493.453
2780,Dublin Belgard/South,ST DAMIENS NS,BEECHFIELD CLOSE  WALKINSTOWN  DUBLIN 12,19943M,01 4508932,242,Mixed,Ordinary School,CATHOLIC,DUBLIN,WALKINSTOWN,311932.968,230616.356
2782,Dun Laoghaire - Rathdown,RATHFARNHAM EDUCATE TOGETHER,LORETO AVENUE  RATHFARNHAM  DUBLIN 14,19945Q,01 4938677,223,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,315072.215,228188.357
2783,Dublin City,RUTLAND STREET N S,LOWER RUTLAND STREET  DUBLIN 1,19946S,01 8747331,86,Mixed,Ordinary School,CATHOLIC,DUBLIN,SEAN MCDERMOTT STREET,316399.323,235196.453
2786,Dun Laoghaire - Rathdown,ISLAMIC NATIONAL SCHOOL,19 ROEBUCK ROAD  CLONSKEAGH  DUBLIN 14,19949B,01 2961340,275,Mixed,Ordinary School,MUSLIM,,,317762.877,229612.888
2787,Dublin Belgard/South,ST DOMINICS N S,TALLAGHT  DUBLIN 24,19950J,01 4512219,194,Mixed,Ordinary School,CATHOLIC,DUBLIN,"TALLAGHT,DODDER",309597.594,227412.359
2795,Dun Laoghaire - Rathdown,ST JOHNS N S,BALLYBRACK  CO DUBLIN,19960M,01 2855525,121,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALLYBRACK,324965.356,224465.201
2812,Dun Laoghaire - Rathdown,ST KEVINS N S,SALLYNOGGIN  CO DUBLIN,19979K,01 2854309,135,Mixed,Ordinary School,CATHOLIC,DUBLIN,SALLYNOGGIN,324235.633,226718.591
2813,Dublin City,ST MARYS N S,WINDSOR AVE  FAIRVIEW  DUBLIN 3,19981U,01 8377551,233,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,FAIRVIEW,317327.376,236306.941
2818,Dublin Fingal,ST MARYS NATIONAL SCHOOL,GRANGE ROAD  BALDOYLE  DUBLIN 13,19988L,01 8326782,236,Girls,Ordinary School,CATHOLIC,DUBLIN,BALDOYLE,323918.417,240235.463
2833,Dublin City,SCOIL PLAS MHUIRE,ST MARYS PLACE  DORSET STREET  DUBLIN 7,20005V,01 8300841,84,Boys,Ordinary School,CATHOLIC,DUBLIN,BERKLEY ROAD,315421.999,235217.327
2839,Dublin City,GRIFFITH BARRACKS MULTI D SCHOOL,THE OLD GUARDHOUSE  GRIFFITH COLLEGE  SOUTH CIRCULAR ROAD  DUBLIN 8,20012S,01 4547278,211,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,314643.000,232558.000
2841,Dublin City,ST AGNES N S,ARMAGH ROAD  CRUMLIN  DUBLIN 12,20014W,01 4555127,344,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,,312875.683,231290.560
2842,Dublin City,GAELSCOIL BHAILE MUNNA,187 BOTHAR CHOULTRAI  BAILE MUNNA  BAILE ATHA CLIATH 9,20015B,01 8622275,183,Mixed,All Irish School,CATHOLIC,AN FORAS,,316066.396,240047.137
2847,Dun Laoghaire - Rathdown,GAELSCOIL THAOBH NA COILLE,CILL TIARNAIN  B.A.C. 18,20020R,01 2950000,231,Mixed,All Irish School,CATHOLIC,AN FORAS,,320287.281,223135.719
2853,Dublin City,ST BRIGIDS INFANT N S,WELLMOUNT AVENUE  FINGLAS WEST  DUBLIN 11,20029M,01 8348770,227,Mixed,Ordinary School,CATHOLIC,,,312540.276,238681.623
2855,Dublin City,ST GABRIELS N S,COWPER STREET  DUBLIN 7,20035H,01 8384853,249,Mixed,Ordinary School,CATHOLIC,DUBLIN,,313868.000,235074.000
2861,Dublin Belgard/South,GAELSCOIL CHNOC LIAMHNA,HALLA NA NGASOGA  BOTHAR CNOC LIAMHNA  BAILE ATHA CLIATH 16,20043G,01 4939262,237,Mixed,All Irish School,CATHOLIC,AN FORAS,,311708.220,227245.089
2865,Dublin City,GAELSCOIL BHARRA,NAOMH FIONNBARRA C.L.G.  ASCAL AN FHASAIGH  AN CHABRACH  BAC 7,20047O,01 8684827,218,Mixed,All Irish School,CATHOLIC,AN FORAS,,313903.341,236371.178
2866,Dublin City,GAELSCOIL LIOS NA NOG,Scoil Mhucrois  Br. Marlborough    Baile Atha Cliath 4,20048Q,01 4969165,197,Mixed,All Irish School,CATHOLIC,AN FORAS,,316181.176,231567.895
2871,Dun Laoghaire - Rathdown,GAELSCOIL PHADRAIG,ASCAILL SHILEANN  BAILE BREAC  CO ATHA CLIATH,20056P,01 2827345,118,Mixed,All Irish School,CATHOLIC,AN FORAS,,325231.125,223617.313
2874,Dublin City,MOTHER OF DIVINE GRACE,HOLY FAITH NS  FERNDALE AVE  BALLYGALL  DUBLIN 11,20059V,01 8344000,312,Mixed,Ordinary School,CATHOLIC,DUBLIN,,313995.000,238693.000
2875,Dun Laoghaire - Rathdown,MONKSTOWN EDUCATE TOGETHER NS,MONKSTOWN GROVE  BLACKROCK  CO DUBLIN,20060G,01 2303696,227,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,323094.438,227888.625
2879,Dublin City,OUR LADY OF CONSOLATION NS,COLLINS AVE EAST  DONNYCARNEY  DUBLIN 5,20064O,01 8310721,194,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,,,318725.045,237477.960
2881,Dublin Belgard/South,LUCAN EDUCATE TOGETHER NS,BEWLEY WAY  WILLSBROOK  LUCAN  CO. DUBLIN,20066S,01 6281298,443,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,304901.000,234572.000
2900,Dublin City,ST PETERS NS,PHIBSBORO  DUBLIN 7,20091R,01 8680501,366,Mixed,Ordinary School,CATHOLIC,DUBLIN,,314786.421,235975.649
2902,Dublin Fingal,GAELSCOIL BRIAN BOROIMHE,COILL NA NILL SWORDS CO DUBLIN,20095C,01 8902799,199,Mixed,All Irish School,CATHOLIC,AN FORAS,,316500.000,248125.000
2904,Dublin Fingal,CASTLEKNOCK EDUCATE TOGETHER NS,BEECHPARK AVENUE  CASTLEKNOCK  DUBLIN 15,20098I,01 8219331,381,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,309037.313,237828.281
2907,Dublin City,JOHN SCOTTUS NS,NORTHUMBERLAND ROAD  DUBLIN 4,20103V,01 6609309,293,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,317277.465,231985.806
2908,Dublin City,ST AUDOENS NS,COOK STREET  DUBLIN 8,20104A,01 6779856,147,Mixed,Ordinary School,CATHOLIC,DUBLIN,,314978.851,234038.160
2923,Dublin Fingal,ST PATRICKS NS,C/O ST MOCHTAS NS  PORTERSTOWN ROAD  CLONSILLA  DUBLIN 15,20130B,01 8249930,523,Mixed,Ordinary School,CATHOLIC,,,306170.639,238085.107
2924,Dublin City,EDUCATE TOGETHER NS,C/O ST JOSEPHS SCHOOL FOR THE DEAF  NAVAN ROAD  CABRA  DUBLIN 7,20131D,01 8690002,218,Mixed,Ordinary School,MULTI DENOMINATIONAL,,,313066.731,236162.023
2927,Dublin Fingal,MARY  MOTHER OF HOPE NS,LITTLEPACE  CASTAHEANY  DUBLIN 15,20137P,01 8128693,581,Mixed,Ordinary School,CATHOLIC,,,304827.000,240425.000
